Name,Matches,Starts,Mins,Goals,Assists,Passes_Attempted,Perc_Passes_Completed,Penalty_Goals,Penalty_Attempted,Yellow_Cards,Red_Cards
Dan Burn,27,23,2061,1,0,1242,76.7,0,0,5,0
Solly March,21,19,1672,2,1,975,69.8,0,0,0,0
Danny Welbeck,24,17,1545,6,1,268,81.7,0,1,0,0
Adam Lallana,30,16,1596,1,1,936,84.7,0,0,0,0
Alexis Mac Allister,21,13,1115,1,1,407,79.4,0,0,1,0
Mathew Ryan,11,11,990,0,0,399,78.7,0,0,1,0
Tariq Lamptey,11,11,886,1,1,500,78,0,0,4,1
Steven Alzate,15,10,896,1,0,446,89.5,0,0,2,0
Aaron Connolly,17,9,791,2,1,101,78.2,0,0,0,0
Jakub Moder,12,7,647,0,0,268,74.6,0,0,0,0
Alireza Jahanbakhsh,21,6,528,0,1,265,74,0,0,3,0
Davy Pröpper,7,2,213,0,0,96,76,0,0,0,0
Bernardo,3,2,206,0,0,87,71.3,0,0,0,0
Percy Tau,3,1,103,0,1,29,75.9,0,0,0,0
Andi Zeqiri,9,0,171,0,0,43,46.5,0,0,0,0
José Izquierdo,1,0,9,0,0,9,88.9,0,0,0,0
Reda Khadra,1,0,5,0,0,1,0,0,0,0,0
Jayson Molumby,1,0,1,0,0,1,0,0,0,0,0
Ashley Westwood,38,38,3410,3,3,2125,73.7,0,0,7,0
James Tarkowski,36,36,3240,1,0,1167,72,0,0,6,0
Dwight McNeil,36,34,3069,2,5,1336,68.9,0,0,1,0
Matthew Lowton,34,34,3060,1,1,1498,68.8,0,0,5,0
Nick Pope,32,32,2880,0,0,979,50.7,0,0,1,0
Josh Brownhill,33,32,2813,0,1,1187,79,0,0,2,0
Chris Wood,33,32,2741,12,3,658,66.9,2,2,0,0
Ben Mee,30,30,2693,2,0,1044,75.1,0,0,3,0
Charlie Taylor,29,28,2426,0,1,1298,69.9,0,0,1,0
Jóhann Berg Guðmundsson,22,16,1363,2,0,472,75.4,0,0,2,0
Matěj Vydra,28,15,1371,3,2,266,72.6,0,0,0,0
Jack Cork,16,15,1350,0,0,499,82.6,0,0,2,0
Ashley Barnes,22,15,1331,3,0,307,63.5,1,1,4,0
Erik Pieters,20,13,1266,0,1,580,74.8,0,0,1,0
Jay Rodriguez,31,12,1265,1,2,283,73.5,0,0,3,0
Robbie Brady,19,12,1052,1,1,393,67.7,0,0,3,0
Kevin Long,8,7,637,0,0,255,71,0,0,2,0
Bailey Peacock-Farrell,4,4,360,0,0,113,51.3,0,0,0,0
Phil Bardsley,4,3,274,0,0,165,70.3,0,0,2,0
Jimmy Dunne,3,3,270,1,0,146,71.2,0,0,1,0
Dale Stephens,7,3,261,0,0,124,83.1,0,0,1,0
Josh Benson,6,2,264,0,0,85,72.9,0,0,0,0
Will Norris,2,2,180,0,0,56,48.2,0,0,0,0
Joel Mumbongo,4,0,40,0,0,6,83.3,0,0,1,0
Lewis Richardson,2,0,4,0,0,1,0,0,0,0,0
Alphonse Areola,36,36,3240,0,0,1001,73.6,0,0,2,0
Tosin Adarabioyo,33,33,2953,0,0,1824,87.4,0,0,1,0
Ademola Lookman,34,31,2747,4,4,1168,75.3,0,1,5,0
Ola Aina,31,31,2664,2,1,1711,77.7,0,0,3,0
Joachim Andersen,31,30,2730,1,1,1833,83.4,0,0,7,1
Andre-Frank Zambo Anguissa,36,29,2587,0,3,1410,84.9,0,0,6,0
Bobby Reid,33,28,2372,5,2,826,74.1,0,0,7,0
Ivan Cavaleiro,36,27,2472,3,0,834,71.9,1,2,2,0
Harrison Reed,31,26,2247,0,2,1460,86.4,0,0,5,0
Antonee Robinson,28,24,2162,0,0,1352,72.6,0,0,4,1
Ruben Loftus-Cheek,30,21,1909,1,0,716,83.1,0,0,3,0
Mario Lemina,28,19,1703,1,0,860,85.3,0,0,5,0
Kenny Tete,22,18,1481,0,1,863,74.4,0,0,3,0
Aleksandar Mitrović,27,13,1402,3,3,384,76,1,2,3,0
Josh Maja,15,9,810,3,0,179,87.7,1,1,0,0
Tom Cairney,10,9,759,1,1,621,88.7,0,0,2,0
Joe Bryan,16,7,669,1,0,420,70.2,0,0,2,0
Tim Ream,7,7,630,0,0,434,91.2,0,0,0,0
Josh Onomah,11,4,374,0,0,166,89.8,0,0,1,0
Denis Odoi,3,3,270,0,0,185,82.7,0,0,1,0
Michael Hector,4,3,263,0,0,175,79.4,0,0,2,0
Fabio Carvalho,4,3,255,1,0,86,77.9,0,0,0,0
Aboubakar Kamara,11,2,315,0,0,128,71.9,0,0,1,1
Marek Rodák,2,2,180,0,0,46,80.4,0,0,0,0
Maxime Le Marchand,2,1,123,0,0,82,95.1,0,0,2,0
Neeskens Kebano,5,1,119,0,0,42,78.6,0,0,0,0
Terence Kongolo,1,1,90,0,0,39,94.9,0,0,0,0
Tyrese Francois,1,0,15,0,0,15,93.3,0,0,0,0
Sam Johnstone,37,37,3330,0,1,1282,49.9,0,0,1,0
Darnell Furlong,35,32,2932,1,3,1177,59.5,0,0,5,0
Semi Ajayi,33,31,2780,2,0,948,74.4,0,0,3,1
Matheus Pereira,33,30,2577,11,6,1066,71.8,4,4,2,1
Kyle Bartley,30,28,2584,3,1,809,77.9,0,0,4,0
Conor Gallagher,30,28,2531,2,2,954,77.8,0,0,11,0
Conor Townsend,25,25,2234,0,2,1176,74.9,0,0,0,0
Dara O'Shea,28,25,2102,0,0,857,66,0,0,3,0
Matt Phillips,33,20,1828,2,1,567,69.3,0,0,1,0
Callum Robinson,28,20,1560,5,0,450,70.9,0,0,0,0
Romaine Sawyers,19,17,1487,0,0,712,85,0,0,2,0
Okay Yokuşlu,16,15,1317,0,1,530,83.2,0,0,4,0
Jake Livermore,18,15,1242,0,0,381,74.3,0,0,2,1
Grady Diangana,20,15,1235,1,0,351,72.9,0,0,0,0
Ainsley Maitland-Niles,15,14,1230,0,0,402,76.4,0,0,2,0
Mbaye Diagne,16,14,1189,3,2,230,70.4,0,0,2,0
Karlan Grant,21,14,1127,1,0,228,73.2,0,0,1,0
Kieran Gibbs,10,9,809,0,0,309,72.2,0,0,1,1
Branislav Ivanović,13,8,767,0,0,311,85.2,0,0,2,0
Robert Snodgrass,8,6,526,0,0,133,78.9,0,0,2,0
Filip Krovinović,11,5,546,0,0,365,84.4,0,0,0,0
Lee Peltier,4,3,229,0,0,76,63.2,0,0,1,0
Hal Robson-Kanu,19,2,561,2,0,86,74.4,0,0,2,0
Kamil Grosicki,3,2,148,0,1,49,65.3,0,0,0,0
Kyle Edwards,5,1,118,0,0,35,85.7,0,0,0,0
David Button,1,1,90,0,0,37,43.2,0,0,0,0
Ahmed Hegazi,1,1,90,0,0,52,71.2,0,0,0,0
Charlie Austin,5,0,138,0,0,34,73.5,0,0,0,0
Sam Field,3,0,62,0,0,23,65.2,0,0,0,0
Rekeem Harper,2,0,32,0,0,16,81.3,0,0,0,0
Aaron Ramsdale,38,38,3420,0,0,1141,49.1,0,0,1,0
George Baldock,32,32,2787,0,2,1160,78.5,0,0,7,0
Chris Basham,31,31,2576,0,1,1105,81.4,0,0,5,0
Enda Stevens,30,30,2700,0,1,1427,77.5,0,0,6,0
John Egan,31,30,2629,0,1,1094,84.6,0,0,7,1
John Fleck,31,29,2575,0,2,1212,78.1,0,0,4,0
David McGoldrick,35,28,2397,8,1,938,74.5,0,0,7,0
Oliver Norwood,32,26,2220,0,0,1483,79.6,0,0,6,0
Ethan Ampadu,25,23,2089,0,0,1064,80.5,0,0,3,0
John Lundstram,28,23,2032,0,2,1041,81,0,1,8,1
Ben Osborn,24,17,1604,1,0,839,79,0,0,1,0
Oliver Burke,25,14,1269,1,1,262,70.6,0,0,2,0
Sander Berge,15,13,1120,1,1,464,81.9,1,1,4,0
Oliver McBurnie,23,12,1324,1,0,426,62.9,0,0,2,0
Rhian Brewster,27,12,1128,0,0,225,69.3,0,0,1,0
Jayden Bogle,16,12,1110,2,0,383,78.3,0,0,2,0
Kean Bryan,13,12,1004,1,0,443,72.9,0,0,1,0
Jack Robinson,11,9,877,0,1,439,80.6,0,0,3,0
Billy Sharp,16,7,735,3,0,123,69.9,2,2,1,0
Max Lowe,8,7,550,0,0,223,65,0,0,1,0
Phil Jagielka,10,6,526,0,0,186,76.3,0,0,1,1
Daniel Jebbison,4,3,284,1,0,34,70.6,0,0,0,0
Lys Mousset,11,2,296,0,0,50,80,0,0,0,0
Jack O'Connell,2,2,180,0,0,77,77.9,0,0,0,0
Iliman Ndiaye,1,0,12,0,0,3,100,0,0,0,0
Antwoine Hackford,1,0,11,0,0,1,100,0,0,0,0
Femi Seriki,1,0,1,0,0,0,-1,0,0,0,0
