Name,Matches,Starts,Mins,Goals,Assists,Passes_Attempted,Perc_Passes_Completed,Penalty_Goals,Penalty_Attempted,Yellow_Cards,Red_Cards
Diogo Jota,19,12,1112,9,0,451,72.5,0,0,2,0
James Milner,26,11,1070,0,1,913,84.9,0,0,3,0
Ozan Kabak,9,9,801,0,0,554,90.6,0,0,3,0
Joël Matip,10,9,691,1,2,527,88.4,0,0,2,0
Rhys Williams,9,7,661,0,0,451,92,0,0,0,0
Naby Keïta,10,7,520,0,0,356,87.4,0,0,1,0
Joe Gomez,7,6,590,0,0,532,90.2,0,0,0,0
Xherdan Shaqiri,14,5,556,0,2,426,83.6,0,0,2,0
Virgil van Dijk,5,5,370,1,0,329,90,0,0,1,0
Adrián,3,3,270,0,0,99,76.8,0,0,0,0
Neco Williams,6,3,249,0,0,213,73.2,0,0,1,0
Takumi Minamino,9,2,293,1,0,139,79.9,0,0,0,0
Alex Oxlade-Chamberlain,13,2,253,1,1,138,75.4,0,0,0,0
Divock Origi,9,2,186,0,0,60,76.7,0,0,0,0
Caoimhín Kelleher,2,2,180,0,0,62,82.3,0,0,0,0
Kostas Tsimikas,2,0,7,0,0,8,75,0,0,0,0
Kasper Schmeichel,38,38,3420,0,0,1218,72.7,0,0,0,0
Youri Tielemans,38,37,3357,6,4,2559,78.6,2,2,6,0
Jamie Vardy,34,31,2840,15,9,452,66.4,8,9,1,0
Jonny Evans,28,28,2473,2,2,1764,87.5,0,0,7,0
Timothy Castagne,27,27,2345,2,3,1512,83.8,0,0,1,0
Wesley Fofana,28,27,2262,0,0,1672,88.2,0,0,7,0
Wilfred Ndidi,26,25,2176,1,4,1363,88.1,0,0,6,0
James Maddison,31,24,2099,8,5,1116,77.3,0,0,4,0
James Justin,23,23,2070,2,1,1248,79.2,0,0,4,0
Harvey Barnes,25,22,1945,9,4,626,74.8,0,0,0,0
Çağlar Söyüncü,23,19,1819,1,0,1351,89,0,0,2,0
Marc Albrighton,31,17,1746,1,5,923,68.8,0,0,2,0
Kelechi Iheanacho,25,16,1459,12,2,501,79.8,0,1,1,0
Nampalys Mendy,23,15,1459,0,1,965,91.4,0,0,5,0
Ayoze Pérez,25,15,1331,2,1,499,76.6,0,0,2,0
Luke Thomas,14,12,969,1,0,484,74.2,0,0,2,0
Ricardo Pereira,15,10,959,0,1,525,78.3,0,0,3,0
Dennis Praet,15,10,718,1,1,313,79.2,0,0,0,0
Daniel Amartey,12,8,722,1,0,466,85.8,0,0,3,0
Christian Fuchs,9,8,702,0,0,589,81.2,0,0,4,0
Hamza Choudhury,10,4,316,0,0,235,80.9,0,0,1,0
Cengiz Ünder,9,1,281,0,2,129,70.5,0,0,0,0
Sidnei Tavares,2,1,85,0,0,26,73.1,0,0,0,0
Islam Slimani,1,0,20,0,0,11,72.7,0,0,0,0
Demarai Gray,1,0,19,0,0,11,63.6,0,0,0,0
Wes Morgan,3,0,18,0,0,5,100,0,0,0,0
Khanya Leshabela,1,0,10,0,0,9,77.8,0,0,0,0
Tomáš Souček,38,38,3419,10,1,1539,76.9,0,0,7,1
Aaron Cresswell,36,36,3170,0,8,2060,74.8,0,0,3,0
Łukasz Fabiański,35,35,3150,0,0,1002,60.5,0,0,2,0
Vladimír Coufal,34,34,3054,0,7,1692,70.9,0,0,3,0
Declan Rice,32,32,2879,2,1,1506,86.2,1,2,2,0
Pablo Fornals,33,31,2572,5,4,1102,77.3,0,0,3,0
Jarrod Bowen,38,30,2562,8,5,734,68,0,0,0,0
Angelo Ogbonna,28,28,2492,3,0,960,84.4,0,0,5,0
Michail Antonio,26,24,1974,10,5,490,66.5,0,0,3,0
Craig Dawson,22,22,1925,3,0,718,82.5,0,0,5,1
Jesse Lingard,16,16,1421,9,4,669,81.3,1,2,3,0
Issa Diop,18,15,1381,2,0,563,84.4,0,0,3,0
Saïd Benrahma,30,14,1391,1,6,527,78,0,0,0,0
Fabián Balbuena,14,13,1198,1,0,465,76.8,0,0,1,1
Arthur Masuaku,12,12,1006,0,2,552,80.1,0,0,2,0
Sébastien Haller,16,10,937,3,0,252,67.9,0,0,0,0
Mark Noble,21,8,712,0,0,429,87.2,0,0,1,0
Ryan Fredericks,14,6,569,1,1,279,72.8,0,0,2,0
Manuel Lanzini,17,5,566,1,1,368,88.9,0,0,1,0
Ben Johnson,14,5,523,1,0,219,70.3,0,0,1,0
Darren Randolph,3,3,270,0,0,66,54.5,0,0,0,0
Andriy Yarmolenko,15,1,375,0,1,157,79,0,0,3,0
Robert Snodgrass,3,0,5,0,0,3,100,0,0,0,0
Felipe Anderson,2,0,3,0,0,6,66.7,0,0,0,0
Pierre Højbjerg,38,38,3420,2,4,2687,88.9,0,0,9,0
Hugo Lloris,38,38,3420,0,0,1067,71.5,0,0,0,0
Son Heung-min,37,36,3114,17,10,1199,76.7,1,1,0,0
Harry Kane,35,35,3082,23,14,937,70.1,4,4,1,0
Eric Dier,28,28,2520,0,0,1654,84.6,0,0,3,0
Tanguy Ndombele,33,28,2091,3,2,1165,85.3,0,0,3,0
Sergio Reguilón,27,26,2244,0,3,1393,77.2,0,0,5,0
Toby Alderweireld,25,25,2240,1,0,1366,83.7,0,0,2,0
Serge Aurier,19,19,1605,2,3,954,80.6,0,0,0,0
Davinson Sánchez,18,17,1486,0,0,977,86.9,0,0,1,0
Moussa Sissoko,25,15,1585,0,0,792,84.1,0,0,3,0
Lucas Moura,30,14,1411,3,4,600,74.7,0,0,1,0
Ben Davies,20,14,1346,0,1,783,77.9,0,0,1,0
Matt Doherty,17,13,1240,0,2,826,80.6,0,0,4,1
Steven Bergwijn,21,13,1208,1,3,428,81.1,0,0,3,0
Giovani Lo Celso,18,11,945,1,1,589,78.9,0,0,5,0
Gareth Bale,20,10,920,11,2,408,69.6,0,0,1,0
Harry Winks,15,9,861,0,0,658,84.2,0,0,5,0
Joe Rodon,12,8,733,0,0,411,88.8,0,0,0,0
Dele Alli,15,7,620,0,1,337,80.1,0,0,0,0
Japhet Tanganga,6,6,487,0,0,229,84.3,0,0,2,0
Érik Lamela,23,5,717,1,0,368,78.5,0,0,6,1
Carlos Vinícius,9,3,308,1,0,44,56.8,0,0,2,0
Dane Scarlett,1,0,1,0,0,0,-1,0,0,0,0
Bernd Leno,35,35,3131,0,0,1156,79.8,0,0,0,1
Bukayo Saka,32,30,2553,5,3,1155,74.9,0,0,1,0
Granit Xhaka,31,29,2522,1,2,2164,89.9,0,0,7,1
Rob Holding,30,28,2558,0,1,1768,89.3,0,0,2,0
Pierre-Emerick Aubameyang,29,26,2332,10,3,691,75,2,2,2,0
Kieran Tierney,27,26,2299,1,3,1490,76.2,0,0,4,0
Héctor Bellerín,25,24,2089,1,2,1302,82.9,0,0,8,0
Gabriel Dos Santos,23,22,1996,2,0,1492,86,0,0,4,1
Alexandre Lacazette,31,22,1923,13,2,524,78.2,3,3,3,0
Thomas Partey,24,18,1534,0,2,1112,86.9,0,0,5,0
Emile Smith-Rowe,20,18,1440,2,4,724,87.7,0,0,0,0
Dani Ceballos,25,17,1615,0,3,1286,86.5,0,0,4,0
Mohamed Elneny,23,17,1544,1,0,1003,93.4,0,0,3,0
David Luiz,20,17,1396,1,0,965,83.6,0,0,1,1
Nicolas Pépé,29,16,1616,10,1,674,75.7,1,1,1,1
Willian,25,16,1406,1,5,787,79.3,0,0,0,0
Pablo Marí,10,10,900,0,0,592,90.7,0,0,2,0
Martin Ødegaard,14,9,866,1,2,521,86.4,0,0,0,0
Calum Chambers,10,8,753,0,2,575,80.3,0,0,0,0
Cédric Soares,10,8,746,0,1,463,75.8,0,0,1,0
Martinelli,14,7,589,2,1,159,79.2,0,0,0,0
Ainsley Maitland-Niles,11,5,490,0,0,288,78.5,0,0,0,0
Eddie Nketiah,17,4,423,2,1,89,82,0,0,0,0
Mathew Ryan,3,3,270,0,0,67,92.5,0,0,0,0
Joe Willock,7,2,238,0,0,91,75.8,0,0,1,0
Sead Kolašinac,1,1,90,0,0,64,84.4,0,0,0,0
Reiss Nelson,2,0,71,0,0,30,56.7,0,0,0,0
Shkodran Mustafi,3,0,47,0,0,48,85.4,0,0,0,0
Rúnar Alex Rúnarsson,1,0,16,0,0,11,63.6,0,0,0,0
Stuart Dallas,38,38,3409,8,2,2212,82,0,0,7,0
Luke Ayling,38,38,3399,0,0,2661,79.3,0,0,7,0
Patrick Bamford,38,37,3050,17,7,506,76.3,2,2,3,0
Illan Meslier,35,35,3150,0,0,1348,80.9,0,0,0,0
Jack Harrison,36,34,2847,8,8,1162,67.8,0,0,2,0
Ezgjan Alioski,36,29,2461,2,3,1630,80.1,0,0,7,0
Kalvin Phillips,29,28,2428,1,2,1462,82.8,0,0,10,0
Mateusz Klich,35,28,2393,4,5,1495,79.3,2,2,6,0
Raphael Dias Belloli,30,26,2360,6,9,1057,66.7,0,0,3,0
Liam Cooper,25,25,2185,1,0,1555,87.7,0,0,4,1
Pascal Struijk,27,22,2075,1,0,1259,87.1,0,0,3,0
Tyler Roberts,27,14,1340,1,2,467,72.2,0,0,3,0
Rodrigo,26,14,1288,7,2,573,75.4,0,0,3,0
Diego Llorente,15,14,1204,1,0,665,85.4,0,0,1,0
Hélder Costa,22,13,1156,3,3,328,73.8,0,0,0,0
Robin Koch,17,13,1132,0,0,757,85.6,0,0,1,0
