Name,Nationality,Age,Club,Position
Cengiz Ünder,TUR,23,Leicester City,"MF,FW"
Sidnei Tavares,POR,18,Leicester City,MF
Islam Slimani,ALG,32,Leicester City,FW
Demarai Gray,ENG,24,Leicester City,FW
Wes Morgan,JAM,36,Leicester City,DF
Khanya Leshabela,RSA,20,Leicester City,MF
Tomáš Souček,CZE,25,West Ham United,MF
Aaron Cresswell,ENG,30,West Ham United,DF
Łukasz Fabiański,POL,35,West Ham United,GK
Vladimír Coufal,CZE,27,West Ham United,DF
Declan Rice,ENG,21,West Ham United,MF
Pablo Fornals,ESP,24,West Ham United,"FW,MF"
Jarrod Bowen,ENG,23,West Ham United,"FW,MF"
Angelo Ogbonna,ITA,32,West Ham United,DF
Michail Antonio,ENG,30,West Ham United,FW
Craig Dawson,ENG,30,West Ham United,DF
Jesse Lingard,ENG,27,West Ham United,"MF,FW"
Issa Diop,FRA,23,West Ham United,DF
Saïd Benrahma,ALG,24,West Ham United,"FW,MF"
Fabián Balbuena,PAR,28,West Ham United,DF
Arthur Masuaku,COD,26,West Ham United,"DF,FW"
Sébastien Haller,CIV,26,West Ham United,FW
Mark Noble,ENG,33,West Ham United,MF
Ryan Fredericks,ENG,27,West Ham United,"DF,FW"
Manuel Lanzini,ARG,27,West Ham United,"MF,FW"
Ben Johnson,ENG,20,West Ham United,DF
Darren Randolph,IRL,33,West Ham United,GK
Andriy Yarmolenko,UKR,30,West Ham United,"FW,MF"
Robert Snodgrass,SCO,32,West Ham United,"FW,DF"
Felipe Anderson,BRA,27,West Ham United,"FW,MF"
Pierre Højbjerg,DEN,24,Tottnham Hotspur,MF
Hugo Lloris,FRA,33,Tottnham Hotspur,GK
Son Heung-min,KOR,28,Tottnham Hotspur,FW
Harry Kane,ENG,27,Tottnham Hotspur,FW
Eric Dier,ENG,26,Tottnham Hotspur,DF
Tanguy Ndombele,FRA,23,Tottnham Hotspur,MF
Sergio Reguilón,ESP,23,Tottnham Hotspur,DF
Toby Alderweireld,BEL,31,Tottnham Hotspur,DF
Serge Aurier,CIV,27,Tottnham Hotspur,DF
Davinson Sánchez,COL,24,Tottnham Hotspur,DF
Moussa Sissoko,FRA,30,Tottnham Hotspur,MF
Lucas Moura,BRA,27,Tottnham Hotspur,"FW,MF"
Ben Davies,WAL,27,Tottnham Hotspur,DF
Matt Doherty,IRL,28,Tottnham Hotspur,DF
Steven Bergwijn,NED,22,Tottnham Hotspur,"FW,MF"
Giovani Lo Celso,ARG,24,Tottnham Hotspur,MF
Gareth Bale,WAL,31,Tottnham Hotspur,FW
Harry Winks,ENG,24,Tottnham Hotspur,MF
Joe Rodon,WAL,22,Tottnham Hotspur,DF
Dele Alli,ENG,24,Tottnham Hotspur,MF
Japhet Tanganga,ENG,21,Tottnham Hotspur,DF
Érik Lamela,ARG,28,Tottnham Hotspur,"FW,MF"
Carlos Vinícius,BRA,25,Tottnham Hotspur,FW
Dane Scarlett,ENG,16,Tottnham Hotspur,FW
Bernd Leno,GER,28,Arsenal,GK
Bukayo Saka,ENG,18,Arsenal,"FW,DF"
Granit Xhaka,SUI,27,Arsenal,"MF,DF"
Rob Holding,ENG,24,Arsenal,DF
Pierre-Emerick Aubameyang,GAB,31,Arsenal,FW
Kieran Tierney,SCO,23,Arsenal,DF
Héctor Bellerín,ESP,25,Arsenal,DF
Gabriel Dos Santos,BRA,22,Arsenal,DF
Alexandre Lacazette,FRA,29,Arsenal,FW
Thomas Partey,GHA,27,Arsenal,MF
Emile Smith-Rowe,ENG,20,Arsenal,"MF,FW"
Dani Ceballos,ESP,23,Arsenal,MF
Mohamed Elneny,EGY,28,Arsenal,MF
David Luiz,BRA,33,Arsenal,DF
Nicolas Pépé,CIV,25,Arsenal,FW
Willian,BRA,31,Arsenal,"FW,MF"
Pablo Marí,ESP,26,Arsenal,DF
Martin Ødegaard,NOR,21,Arsenal,MF
Calum Chambers,ENG,25,Arsenal,DF
Cédric Soares,POR,28,Arsenal,DF
Martinelli,BRA,19,Arsenal,FW
Ainsley Maitland-Niles,ENG,22,Arsenal,DF
Eddie Nketiah,ENG,21,Arsenal,FW
Mathew Ryan,AUS,28,Arsenal,GK
Joe Willock,ENG,20,Arsenal,MF
Sead Kolašinac,BIH,27,Arsenal,DF
Reiss Nelson,ENG,20,Arsenal,FW
Shkodran Mustafi,GER,28,Arsenal,DF
Rúnar Alex Rúnarsson,ISL,25,Arsenal,GK
Stuart Dallas,NIR,29,Leeds United,"DF,MF"
Luke Ayling,ENG,28,Leeds United,DF
Patrick Bamford,ENG,26,Leeds United,FW
Illan Meslier,FRA,20,Leeds United,GK
Jack Harrison,ENG,23,Leeds United,MF
Ezgjan Alioski,MKD,28,Leeds United,DF
Kalvin Phillips,ENG,24,Leeds United,MF
Mateusz Klich,POL,30,Leeds United,MF
Raphael Dias Belloli,BRA,23,Leeds United,MF
Liam Cooper,SCO,28,Leeds United,DF
Pascal Struijk,NED,20,Leeds United,"DF,MF"
Tyler Roberts,WAL,21,Leeds United,"MF,FW"
Rodrigo,ESP,29,Leeds United,"MF,FW"
Diego Llorente,ESP,26,Leeds United,DF
Hélder Costa,POR,26,Leeds United,"MF,FW"
Robin Koch,GER,24,Leeds United,"DF,MF"
Jamie Shackleton,ENG,20,Leeds United,"MF,DF"
Pablo Hernández,ESP,35,Leeds United,MF
Kiko Casilla,ESP,33,Leeds United,GK
Gaetano Berardi,SUI,31,Leeds United,DF
Ian Carlo Poveda,ENG,20,Leeds United,"MF,DF"
Niall Huggins,WAL,19,Leeds United,DF
Leif Davis,ENG,20,Leeds United,DF
Michael Keane,ENG,27,Everton,DF
Richarlison,BRA,23,Everton,FW
Dominic Calvert-Lewin,ENG,23,Everton,FW
Jordan Pickford,ENG,26,Everton,GK
Lucas Digne,FRA,27,Everton,DF
Ben Godfrey,ENG,22,Everton,DF
Abdoulaye Doucouré,FRA,27,Everton,MF
Mason Holgate,ENG,23,Everton,DF
Gylfi Sigurðsson,ISL,30,Everton,MF
Allan,BRA,29,Everton,MF
Yerry Mina,COL,25,Everton,DF
James Rodríguez,COL,29,Everton,"FW,MF"
Séamus Coleman,IRL,31,Everton,"DF,MF"
André Gomes,POR,27,Everton,MF
Alex Iwobi,NGA,24,Everton,"FW,DF"
Tom Davies,ENG,22,Everton,MF
Robin Olsen,SWE,30,Everton,GK
Bernard,BRA,27,Everton,"MF,FW"
Fabian Delph,ENG,30,Everton,"MF,DF"
Anthony Gordon,ENG,19,Everton,"FW,MF"
Niels Nkounkou,FRA,19,Everton,"DF,FW"
Jonjoe Kenny,ENG,23,Everton,DF
Joshua King,NOR,28,Everton,"MF,FW"
Cenk Tosun,TUR,29,Everton,FW
João Virgínia,POR,20,Everton,GK
Moise Kean,ITA,20,Everton,FW
Theo Walcott,ENG,31,Everton,FW
Jean-Philippe Gbamin,CIV,24,Everton,MF
Nathan Broadhead,WAL,22,Everton,MF
Emiliano Martínez,ARG,27,Aston Villa,GK
Matt Targett,ENG,24,Aston Villa,DF
John McGinn,SCO,25,Aston Villa,MF
Ollie Watkins,ENG,24,Aston Villa,FW
Tyrone Mings,ENG,27,Aston Villa,DF
Ezri Konsa,ENG,22,Aston Villa,DF
Douglas Luiz,BRA,22,Aston Villa,MF
Bertrand Traoré,BFA,24,Aston Villa,FW
Matty Cash,ENG,22,Aston Villa,DF
Jack Grealish,ENG,24,Aston Villa,"FW,MF"
Ross Barkley,ENG,26,Aston Villa,MF
Anwar El Ghazi,NED,25,Aston Villa,FW
Trézéguet,EGY,25,Aston Villa,FW
Marvelous Nakamba,ZIM,26,Aston Villa,MF
Ahmed Elmohamady,EGY,32,Aston Villa,DF
Kortney Hause,ENG,25,Aston Villa,DF
Jacob Ramsey,ENG,19,Aston Villa,MF
Morgan Sanson,FRA,25,Aston Villa,MF
Conor Hourihane,IRL,29,Aston Villa,MF
Keinan Davis,ENG,22,Aston Villa,"FW,MF"
Carney Chukwuemeka,ENG,16,Aston Villa,"FW,MF"
Wesley Moraes,BRA,23,Aston Villa,"MF,FW"
Neil Taylor,WAL,31,Aston Villa,DF
Jaden Philogene Bidace,ENG,18,Aston Villa,FW
Jonjo Shelvey,ENG,28,Newcastle United,MF
Miguel Almirón,PAR,26,Newcastle United,"MF,FW"
Karl Darlow,ENG,29,Newcastle United,GK
Federico Fernández,ARG,31,Newcastle United,DF
Callum Wilson,ENG,28,Newcastle United,FW
Joelinton,BRA,23,Newcastle United,"FW,MF"
Isaac Hayden,ENG,25,Newcastle United,"MF,DF"
Ciaran Clark,IRL,30,Newcastle United,DF
Jamal Lewis,NIR,22,Newcastle United,DF
Jamaal Lascelles,ENG,26,Newcastle United,DF
Allan Saint-Maximin,FRA,23,Newcastle United,"FW,MF"
Jacob Murphy,ENG,25,Newcastle United,"DF,MF"
Jeff Hendrick,IRL,28,Newcastle United,MF
Sean Longstaff,ENG,22,Newcastle United,MF
Matt Ritchie,SCO,30,Newcastle United,"DF,MF"
Emil Krafth,SWE,25,Newcastle United,DF
Paul Dummett,WAL,28,Newcastle United,DF
Fabian Schär,SUI,28,Newcastle United,DF
Martin Dúbravka,SVK,31,Newcastle United,GK
Joe Willock,ENG,20,Newcastle United,MF
Javier Manquillo,ESP,26,Newcastle United,DF
Ryan Fraser,SCO,26,Newcastle United,"FW,MF"
DeAndre Yedlin,USA,27,Newcastle United,DF
Dwight Gayle,ENG,29,Newcastle United,"FW,MF"
Andy Carroll,ENG,31,Newcastle United,FW
